ERROR 2022-02-07 18:16:18,521 article_content_service article 6, content 10, text not found
ERROR 2022-02-07 18:16:18,529 article_content_service article 10, content 14, text not found
ERROR 2022-02-07 18:16:18,539 article_content_service article 5, content 9, text not found
ERROR 2022-02-07 18:16:18,546 article_content_service article 7, content 11, text not found
ERROR 2022-02-07 18:18:38,661 article_content_service article 6, content 10, text not found
ERROR 2022-02-07 18:18:38,667 article_content_service article 10, content 14, text not found
ERROR 2022-02-07 18:18:38,680 article_content_service article 5, content 9, text not found
ERROR 2022-02-07 18:18:38,686 article_content_service article 7, content 11, text not found
ERROR 2022-02-07 18:18:51,751 article_content_service article 5, content 9, text not found
ERROR 2022-02-07 18:18:51,758 article_content_service article 6, content 10, text not found
ERROR 2022-02-07 18:18:51,764 article_content_service article 7, content 11, text not found
ERROR 2022-02-07 18:18:51,772 article_content_service article 10, content 14, text not found
ERROR 2022-02-08 15:01:42,071 article_content_service article 4, text not found
ERROR 2022-02-08 15:02:27,089 article_content_service article 4, text not found
ERROR 2022-02-08 15:07:39,033 article_content_service article 4, text not found
ERROR 2022-02-08 15:10:22,873 article_range_service Rating sort error of article list [<Article: Yo! Universe>, <Article: Поясню за CBV>]. Some articles have not rating
ERROR 2022-02-08 15:11:02,937 article_content_service article 4, text not found
ERROR 2022-02-08 15:12:19,938 article_content_service article 4, text not found
ERROR 2022-02-08 15:19:29,615 article_content_service article 6, text not found
ERROR 2022-02-08 15:19:35,092 article_content_service article 6, text not found
ERROR 2022-02-08 15:20:47,487 article_content_service article 6, text not found
ERROR 2022-02-08 15:23:21,033 article_content_service article 6, text not found
ERROR 2022-02-08 15:23:43,130 article_content_service article 6, text not found
ERROR 2022-02-08 15:23:55,826 article_content_service article 6, text not found
ERROR 2022-02-08 15:23:57,674 article_content_service article 6, text not found
ERROR 2022-02-08 15:24:02,003 article_content_service article 6, text not found
ERROR 2022-02-08 15:27:25,772 article_content_service article 6, text not found
ERROR 2022-02-08 15:27:34,870 article_content_service article 6, text not found
ERROR 2022-02-08 15:27:39,867 article_content_service article 6, text not found
ERROR 2022-02-08 15:27:59,579 article_content_service article 6, text not found
ERROR 2022-02-08 15:29:08,832 article_content_service article 6, text not found
ERROR 2022-02-08 15:29:34,310 article_content_service article 6, text not found
ERROR 2022-02-08 15:29:38,680 article_content_service article 6, text not found
ERROR 2022-02-08 15:30:00,884 article_content_service article 6, text not found
ERROR 2022-02-08 15:30:10,126 article_content_service article 6, text not found
ERROR 2022-02-08 15:30:17,892 article_content_service article 6, text not found
ERROR 2022-02-08 15:30:28,850 article_content_service article 6, text not found
ERROR 2022-02-08 15:30:53,092 article_content_service article 6, text not found
ERROR 2022-02-08 18:26:52,792 article_content_service article 6, text not found
ERROR 2022-02-08 18:27:22,597 article_content_service article 6, text not found
ERROR 2022-02-08 18:27:28,735 article_content_service article 6, text not found
ERROR 2022-02-08 18:27:34,909 article_content_service article 6, text not found
ERROR 2022-02-08 18:31:21,313 article_content_service article 6, text not found
ERROR 2022-02-08 18:31:27,698 article_content_service article 6, text not found
ERROR 2022-02-08 18:31:31,529 article_content_service article 6, text not found
ERROR 2022-02-08 18:31:33,858 article_content_service article 6, text not found
ERROR 2022-02-08 18:34:53,958 article_content_service article 6, text not found
WARNING 2022-02-08 18:42:54,682 article_content_service article 10, text not found
ERROR 2022-02-08 18:59:22,254 article_range_service article None not found
WARNING 2022-02-08 22:44:46,150 article_content_service article 14, text not found
WARNING 2022-02-08 22:44:51,122 article_content_service article 14, text not found
